Country,Last,Previous,Reference,Unit
Ivory Coast,60,60,Dec-20,%
Sweden,57.2,57.2,Dec-20,%
Finland,56.95,53.75,Dec-20,%
Japan,55.95,55.95,Dec-19,%
Denmark,55.8,55.8,Dec-18,%
Austria,55,55,Dec-20,%
Aruba,52,52,Dec-20,%
Belgium,50,50,Dec-20,%
Israel,50,50,Dec-19,%
Slovenia,50,50,Dec-20,%
Netherlands,49.5,51.75,Dec-20,%
Ireland,48,48,Dec-20,%
Portugal,48,48,Dec-20,%
Iceland,46.24,46.24,Dec-20,%
Luxembourg,45.78,45.78,Dec-20,%
Australia,45,45,Dec-20,%
China,45,45,Dec-19,%
France,45,45,Dec-20,%
Germany,45,45,Dec-20,%
South Africa,45,45,Dec-20,%
Spain,45,45,Dec-20,%
United Kingdom,45,45,Dec-20,%
Greece,44,45,Dec-20,%
Italy,43,43,Dec-20,%
Papua New Guinea,42,42,Dec-20,%
South Korea,42,42,Dec-19,%
Euro area,41.7,41.7,Dec-20,%
Barbados,40,40,Dec-20,%
Guinea,40,40,Dec-20,%
Mauritania,40,40,Dec-20,%
Republic of the Congo,40,40,Dec-20,%
Senegal,40,40,Dec-20,%
Switzerland,40,40,Dec-20,%
Taiwan,40,40,Dec-19,%
Uganda,40,30,Dec-20,%
Colombia,39,39,Dec-20,%
Cameroon,38.5,38.5,Dec-20,%
Norway,38.2,38.2,Dec-20,%
Morocco,38,38,Dec-20,%
Suriname,38,38,Dec-20,%
Zambia,37.5,37.5,Dec-20,%
European Union,37.1,38,Dec-20,%
Namibia,37,37,Dec-20,%
United States,37,37,Dec-20,%
Croatia,36,36,Dec-19,%
Uruguay,36,36,Dec-20,%
India,35.88,35.88,Dec-20,%
Algeria,35,35,Dec-20,%
Argentina,35,35,Dec-20,%
Chile,35,35,Dec-20,%
Cyprus,35,35,Dec-20,%
Ecuador,35,35,Dec-20,%
Equatorial Guinea,35,35,Dec-20,%
Ethiopia,35,35,Dec-20,%
Gabon,35,35,Dec-20,%
Malta,35,35,Dec-20,%
Mexico,35,35,Dec-20,%
Pakistan,35,20,Dec-19,%
Philippines,35,35,Dec-19,%
Sierra Leone,35,35,Dec-18,%
Thailand,35,35,Dec-19,%
Tunisia,35,35,Dec-20,%
Turkey,35,35,Dec-20,%
Vietnam,35,35,Dec-19,%
Venezuela,34,34,Dec-20,%
Canada,33,33,Dec-20,%
New Zealand,33,33,Dec-20,%
Puerto Rico,33,33,Dec-20,%
Swaziland,33,33,Dec-20,%
Mozambique,32,32,Dec-20,%
Poland,32,32,Dec-20,%
Latvia,31.4,31.4,Dec-20,%
Bangladesh,30,30,Dec-19,%
Chad,30,30,Dec-20,%
Congo,30,30,Dec-20,%
El Salvador,30,30,Dec-20,%
Gambia,30,30,Dec-20,%
Indonesia,30,30,Dec-19,%
Jamaica,30,30,Dec-20,%
Jordan,30,20,Dec-19,%
Kenya,30,30,Dec-20,%
Lesotho,30,30,Dec-18,%
Malawi,30,30,Dec-20,%
Malaysia,30,28,Dec-20,%
Nicaragua,30,30,Dec-20,%
Peru,30,30,Dec-20,%
Rwanda,30,30,Dec-20,%
Tanzania,30,30,Dec-20,%
Brazil,27.5,27.5,Dec-20,%
Samoa,27,27,Dec-20,%
Azerbaijan,25,25,Dec-19,%
Botswana,25,25,Dec-20,%
Dominican Republic,25,25,Dec-20,%
Ghana,25,25,Dec-20,%
Honduras,25,25,Dec-20,%
Myanmar,25,25,Dec-20,%
Panama,25,25,Dec-20,%
Slovakia,25,25,Dec-20,%
Trinidad And Tobago,25,25,Dec-20,%
Zimbabwe,24.72,25.75,Dec-20,%
Laos,24,24,Dec-19,%
Lebanon,24,20,Dec-19,%
Nigeria,24,24,Dec-20,%
Sri Lanka,24,24,Dec-19,%
Albania,23,23,Dec-18,%
Armenia,23,36,Dec-20,%
Uzbekistan,23,23,Dec-18,%
Egypt,22.5,22.5,Dec-20,%
Liechtenstein,22.4,22.4,Dec-19,%
Czech Republic,22,22,Dec-19,%
Singapore,22,22,Dec-20,%
Syria,22,22,Dec-19,%
Afghanistan,20,20,Dec-19,%
Cambodia,20,20,Dec-19,%
Estonia,20,20,Dec-20,%
Fiji,20,20,Dec-20,%
Georgia,20,20,Dec-19,%
Isle of Man,20,20,Dec-20,%
Lithuania,20,20,Dec-20,%
Madagascar,20,20,Dec-20,%
