Country,Last,Previous,Reference,Unit
France,45,45,Dec-20,%
China,37,37,Dec-18,%
Slovakia,35.2,35.2,Dec-20,%
Belarus,34,34,Dec-19,%
Czech Republic,34,34,Dec-19,%
Estonia,33.8,33.8,Dec-20,%
Sweden,31.42,31.42,Dec-20,%
Italy,30,30,Dec-20,%
Russia,30,30,Dec-19,%
Spain,29.9,29.9,Dec-20,%
Brazil,28.8,28.8,Dec-19,%
Belgium,27.5,27.5,Dec-20,%
Argentina,26.7,26.7,Dec-19,%
Costa Rica,26.33,26.33,Dec-20,%
Algeria,26,26,Dec-19,%
Egypt,26,26,Dec-19,%
Tajikistan,25,25,Dec-19,%
Uzbekistan,25,25,Dec-19,%
Greece,24.81,25.06,Dec-20,%
Latvia,24.09,24.09,Dec-20,%
Portugal,23.75,23.75,Dec-20,%
Netherlands,23.19,19.8,Dec-20,%
Moldova,23,23,Dec-18,%
Lebanon,22.5,21.5,Dec-19,%
Turkey,22.5,22.5,Dec-20,%
Poland,22.14,21,Dec-20,%
Azerbaijan,22,22,Dec-20,%
Ukraine,22,22,Dec-19,%
Equatorial Guinea,21.5,21.5,Dec-19,%
Vietnam,21.5,21.5,Dec-19,%
Austria,21.38,21.38,Dec-20,%
Hungary,21,21,Dec-19,%
Finland,20.76,20.17,Dec-20,%
Colombia,20.5,20.5,Dec-19,%
Republic of the Congo,20.29,20.29,Dec-19,%
Germany,19.88,19.83,Dec-20,%
Bulgaria,19.02,19.02,Dec-19,%
Venezuela,19,19,Dec-19,%
Morocco,18.5,18.5,Dec-19,%
Ivory Coast,18.45,18.45,Dec-19,%
Guinea,18,18,Dec-19,%
Madagascar,18,18,Dec-19,%
Serbia,17.15,17.9,Dec-19,%
Singapore,17,17,Dec-19,%
Bolivia,16.71,16.71,Dec-19,%
Tunisia,16.57,16.57,Dec-19,%
Chad,16.5,16.5,Dec-19,%
Croatia,16.5,17.2,Dec-19,%
Paraguay,16.5,16.5,Dec-20,%
Cameroon,16.2,16.2,Dec-19,%
Slovenia,16.1,16.1,Dec-20,%
Gabon,16,16,Dec-19,%
Albania,15,15,Dec-19,%
Mauritania,15,15,Dec-19,%
Luxembourg,14.99,15.15,Dec-20,%
Japan,14.75,14.75,Dec-18,%
Mongolia,14.5,14.5,Dec-20,%
Jordan,14.25,14.25,Dec-20,%
Norway,14.1,14.1,Dec-20,%
United Kingdom,13.8,13.8,Dec-20,%
Barbados,12.75,12.75,Dec-20,%
Guatemala,12.67,12.67,Dec-20,%
Uruguay,12.63,12.63,Dec-20,%
Panama,12.5,12.5,Dec-19,%
United Arab Emirates,12.5,12.5,Dec-19,%
Bahrain,12,12,Dec-20,%
India,12,12,Dec-19,%
Iraq,12,12,Dec-20,%
Jamaica,12,12,Dec-20,%
Malaysia,12,12,Dec-20,%
Saudi Arabia,12,12,Dec-21,%
Sri Lanka,12,12,Dec-19,%
Kuwait,11.5,11.5,Dec-20,%
Libya,11.25,11.25,Dec-19,%
Ecuador,11.15,11.15,Dec-20,%
Ireland,11.05,10.95,Dec-20,%
Taiwan,10.87,10.87,Dec-19,%
Bosnia And Herzegovina,10.5,11,Dec-19,%
Montenegro,10.3,10.3,Dec-19,%
Fiji,10,10,Dec-19,%
Malta,10,10,Dec-20,%
Uganda,10,10,Dec-19,%
South Korea,9.96,9.65,Dec-20,%
Australia,9.5,9.5,Dec-19,%
Kazakhstan,9.5,9.5,Dec-19,%
Papua New Guinea,8.4,8.4,Dec-19,%
Cyprus,8.3,8.3,Dec-20,%
Angola,8,8,Dec-20,%
Philippines,7.67,7.67,Dec-19,%
United States,7.65,7.65,Dec-19,%
Israel,7.6,8,Dec-19,%
Mexico,7.58,7.58,Dec-19,%
Micronesia,7.5,7.5,Dec-20,%
Canada,7.37,7.27,Dec-19,%
El Salvador,7,7,Dec-20,%
Iceland,6.35,6.6,Dec-20,%
Laos,6,6,Dec-19,%
Mauritius,6,6,Dec-19,%
Switzerland,6,6,Dec-20,%
Bahamas,5.9,5.9,Dec-20,%
Indonesia,5.74,5.74,Dec-19,%
Congo,5,5,Dec-19,%
Kenya,5,5,Dec-19,%
Kosovo,5,5,Dec-20,%
Rwanda,5,5,Dec-19,%
St Lucia,5,5,Dec-20,%
Thailand,5,5,Dec-19,%
Zambia,5,5,Dec-19,%
Mozambique,4,4,Dec-19,%
New Zealand,3,3,Dec-19,%
Armenia,2.5,2.5,Dec-20,%
Romania,2.25,2.25,Dec-19,%
Lithuania,1.77,1.77,Dec-20,%
South Africa,1,1,Dec-19,%
Denmark,0,0,Dec-18,%
Qatar,0,0,Dec-19,%
