Country,Last,Previous,Reference,Unit
Romania,35,35,Dec-19,%
Bosnia And Herzegovina,31,31,Dec-19,%
Netherlands,27.65,27.65,Dec-20,%
Montenegro,24,24,Dec-19,%
Uruguay,23.13,23.13,Dec-20,%
France,23,23,Dec-20,%
Bolivia,22.21,22.21,Dec-19,%
Slovenia,22.1,22.1,Dec-20,%
Germany,20.13,20.08,Dec-20,%
Croatia,20,20,Dec-19,%
Singapore,20,20,Dec-19,%
Serbia,19.9,19.9,Dec-19,%
Lithuania,19.5,19.5,Dec-20,%
Hungary,18.5,18.5,Dec-19,%
Austria,18.12,18.12,Dec-20,%
Chile,17.6,17.6,Dec-19,%
Argentina,17,17,Dec-19,%
Greece,15.75,16,Dec-20,%
Turkey,15,15,Dec-20,%
Japan,14.45,14.45,Dec-18,%
Egypt,14,14,Dec-19,%
United Kingdom,14,12,Dec-20,%
Bulgaria,13.78,13.78,Dec-19,%
Poland,13.71,13.71,Dec-20,%
Slovakia,13.4,13.4,Dec-20,%
Belgium,13.07,13.07,Dec-20,%
Luxembourg,12.45,12.45,Dec-20,%
India,12,12,Dec-19,%
Israel,12,12,Dec-19,%
Finland,11.76,9.79,Dec-20,%
Mongolia,11.5,11.5,Dec-20,%
Barbados,11.1,11.1,Dec-20,%
Brazil,11,11,Dec-19,%
China,11,11,Dec-18,%
Czech Republic,11,11,Dec-19,%
Latvia,11,11,Dec-20,%
Portugal,11,11,Dec-20,%
Vietnam,10.5,10.5,Dec-19,%
Costa Rica,10.34,10.34,Dec-20,%
Colombia,10,10,Dec-19,%
Malta,10,10,Dec-20,%
Saudi Arabia,10,10,Dec-21,%
Panama,9.75,9.75,Dec-19,%
Albania,9.5,9.5,Dec-19,%
Italy,9.49,9.49,Dec-20,%
Ecuador,9.45,9.45,Dec-20,%
Tunisia,9.18,9.18,Dec-19,%
Algeria,9,9,Dec-19,%
Malaysia,9,11,Dec-21,%
Paraguay,9,9,Dec-20,%
South Korea,8.98,8.65,Dec-20,%
Cyprus,8.3,8.3,Dec-20,%
Norway,8.2,8.2,Dec-20,%
Denmark,8,8,Dec-18,%
Fiji,8,8,Dec-19,%
Kuwait,8,8,Dec-20,%
New Zealand,8,8,Dec-19,%
Sri Lanka,8,8,Dec-19,%
United States,7.65,7.65,Dec-19,%
Jordan,7.5,7.5,Dec-20,%
Micronesia,7.5,7.5,Dec-20,%
Bahrain,7,7,Dec-20,%
Sweden,7,7,Dec-20,%
Uzbekistan,7,7,Dec-19,%
Jamaica,6.75,6.75,Dec-20,%
Canada,6.72,6.61,Dec-19,%
Spain,6.35,6.35,Dec-20,%
Ivory Coast,6.3,6.3,Dec-19,%
Moldova,6,6,Dec-18,%
Papua New Guinea,6,6,Dec-19,%
Switzerland,6,6,Dec-20,%
Laos,5.5,5.5,Dec-19,%
Venezuela,5.5,5.5,Dec-19,%
Guinea,5,5,Dec-19,%
Iraq,5,5,Dec-20,%
Kenya,5,5,Dec-19,%
Kosovo,5,5,Dec-20,%
St Lucia,5,5,Dec-20,%
Thailand,5,5,Dec-19,%
Uganda,5,5,Dec-19,%
United Arab Emirates,5,5,Dec-19,%
Zambia,5,5,Dec-19,%
Guatemala,4.83,4.83,Dec-20,%
Equatorial Guinea,4.5,4.5,Dec-19,%
Cameroon,4.2,4.2,Dec-19,%
Iceland,4,4,Dec-20,%
Ireland,4,4,Dec-20,%
Republic of the Congo,4,4,Dec-19,%
Bahamas,3.9,3.9,Dec-20,%
Libya,3.75,3.75,Dec-19,%
Philippines,3.69,3.69,Dec-19,%
Estonia,3.6,3.6,Dec-20,%
Chad,3.5,3.5,Dec-19,%
Congo,3.5,3.5,Dec-19,%
Taiwan,3.15,3.15,Dec-19,%
Angola,3,3,Dec-20,%
Azerbaijan,3,3,Dec-20,%
El Salvador,3,3,Dec-20,%
Lebanon,3,2,Dec-19,%
Mauritius,3,3,Dec-19,%
Mozambique,3,3,Dec-19,%
Rwanda,3,3,Dec-19,%
Armenia,2.5,2.5,Dec-20,%
Gabon,2.5,2.5,Dec-19,%
Australia,2,2,Dec-19,%
Indonesia,2,4,Dec-19,%
Mexico,1.65,1.65,Dec-19,%
Belarus,1,1,Dec-19,%
Madagascar,1,1,Dec-19,%
Mauritania,1,1,Dec-19,%
South Africa,1,1,Dec-19,%
Tajikistan,1,1,Dec-19,%
Qatar,0,0,Dec-19,%
Russia,0,0,Dec-19,%
Ukraine,0,0,Dec-19,%
